2020/06/15 17:07:58 [warn] 6#6: *36 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "GET /history HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/16 11:28:44 [warn] 6#6: *171 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "GET /store HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/16 14:43:07 [warn] 6#6: *261 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.25.0.1, server: , request: "GET /store HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/store/create"
2020/06/16 14:49:20 [warn] 6#6: *264 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.25.0.1, server: , request: "GET /store HTTP/1.1", upstream: "fastcgi://172.25.0.3:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/store/create"
2020/06/17 09:44:52 [warn] 7#7: *19 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.25.0.1, server: , request: "POST /employee/create HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/employee/create"
2020/06/17 09:46:15 [warn] 7#7: *34 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.25.0.1, server: , request: "POST /employee/create HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/employee/create"
2020/06/17 10:05:07 [warn] 7#7: *67 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/17 10:23:37 [warn] 7#7: *74 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/17 10:25:21 [warn] 7#7: *79 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/17 10:31:14 [warn] 7#7: *82 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/17 11:17:47 [warn] 7#7: *89 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
2020/06/17 11:29:34 [warn] 7#7: *94 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 172.25.0.1, server: , request: "GET /employee HTTP/1.1", upstream: "fastcgi://172.25.0.2:9000", host: "127.0.0.1:10080", referrer: "http://127.0.0.1:10080/"
